id,name,listing_url,price,room_type,property_type,accommodates,bedrooms,beds,bathrooms_text,amenities,minimum_nights,neighbourhood_cleansed,latitude,longitude,review_scores_rating,review_scores_value,review_scores_cleanliness,review_scores_location,review_scores_checkin,review_scores_communication,review_scores_accuracy,number_of_reviews,host_is_superhost,host_response_rate,host_acceptance_rate,host_identity_verified,calculated_host_listings_count,availability_365,instant_bookable,dist_to_station,stations_within_500m,dist_to_Tokyo,dist_to_Shibuya,land_price,dist_to_land
197677,Oshiage Holiday Apartment,https://www.airbnb.com/rooms/197677,"$12,600.00",Entire home/apt,Entire rental unit,2,1.0,2.0,1 bath,"[""Hangers"", ""Hot water"", ""Shampoo"", ""Iron"", ""Fire extinguisher"", ""Dryer"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Heating"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Lockbox"", ""TV""]",3,Sumida Ku,35.71707,139.82608,4.78,4.8,4.91,4.58,4.85,4.84,4.76,190,t,100%,89%,t,1,183,f,680.5921695284379,0.0,8263.854678507483,16020.647615464455,565000,362.5208591058028
1016831,5 mins Shibuya Cat modern sunny  Shimokita,https://www.airbnb.com/rooms/1016831,"$24,143.00",Private room,Private room in home,2,1.0,4.0,1 shared bath,"[""Extra pillows and blankets"", ""Ethernet connection"", ""Fast wifi \u2013 52 Mbps"", ""Coffee maker"", ""Blender"", ""Rice maker"", ""Hangers"", ""Drying rack for clothing"", ""Clothing storage: walk-in closet"", ""Hot water"", ""Dishwasher"", ""Iron"", ""\u30a4\u30bd\u30c3\u30d7 conditioner"", ""Fire extinguisher"", ""Bidet"", ""Essentials"", ""Bread maker"", ""\u30a4\u30bd\u30c3\u30d7 body soap"", ""Portable fans"", ""Freezer"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Paid parking lot off premises"", ""Toaster"", ""Hair dryer"", ""Wine glasses"", ""Shower gel"", ""AC - split type ductless system"", ""Bikes"", ""Lock on bedroom door"", ""Bathtub"", ""\u30d8\u30eb\u30b7\u30aa oven"", ""Host greets you"", ""Baking sheet"", ""Shared patio or balcony"", ""First aid kit"", ""Stainless steel gas stove"", ""Heating"", ""24 inch TV with standard cable"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Microwave"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Cooking basics"", ""Dining table"", ""\u30a4\u30bd\u30c3\u30d7 shampoo"", ""Long term stays allowed""]",1,Setagaya Ku,35.658,139.67134,4.95,4.89,4.85,4.93,4.94,4.98,4.94,284,t,90%,89%,t,1,80,f,401.0853200629504,1.0,11041.13471649991,3329.576244646828,996000,296.6122192843871
1196177,Homestay at Host's House -  Senju-Ohashi Station,https://www.airbnb.com/rooms/1196177,"$8,795.00",Private room,Private room in home,3,1.0,8.0,1.5 baths,"[""Extra pillows and blankets"", ""Hangers"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Fast wifi \u2013 172 Mbps"", ""Children\u2019s dinnerware"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Iron"", ""Private living room"", ""Fire extinguisher"", ""Bidet"", ""Body soap"", ""Essentials"", ""Freezer"", ""Coffee"", ""Conditioner"", ""Dedicated workspace"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Self check-in"", ""Children\u2019s books and toys"", ""Hair dryer"", ""AC - split type ductless system"", ""Lock on bedroom door"", ""Bathtub"", ""Host greets you"", ""First aid kit"", ""Heating"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Refrigerator"", ""Lockbox"", ""Dining table"", ""TV"", ""Long term stays allowed""]",2,Adachi Ku,35.74363,139.79852,4.81,4.83,4.79,4.75,4.94,4.91,4.9,150,t,100%,97%,t,1,253,f,234.04295003427143,1.0,9260.577788984783,15877.77641554915,860000,309.27089991453767
1268465,No share Private APT 8 min from Ebisu station,https://www.airbnb.com/rooms/1268465,"$11,699.00",Private room,Private room in rental unit,2,0.0,1.0,Private half-bath,"[""Hangers"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Hot water"", ""Clothing storage"", ""Shampoo"", ""Body soap"", ""Essentials"", ""Freezer"", ""Dedicated workspace"", ""Dishes and silverware"", ""Self check-in"", ""Hair dryer"", ""Central air conditioning"", ""Wifi"", ""Bathtub"", ""Kitchenette"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Microwave"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Lockbox"", ""Long term stays allowed""]",4,Meguro Ku,35.63953,139.7097,4.75,4.59,4.64,4.82,4.85,4.95,4.79,40,f,100%,98%,t,1,21,t,980.5580261277069,0.0,8514.985875650356,2820.23621168839,1470000,194.13038855582988
1298200,"2 Bed Room + 2 Toilets, drop off luggage from 9am",https://www.airbnb.com/rooms/1298200,"$18,575.00",Entire home/apt,Entire home,3,2.0,4.0,2 baths,"[""Extra pillows and blankets"", ""Coffee maker"", ""Safe"", ""Rice maker"", ""Paid dryer \u2013 In building"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Shampoo"", ""Iron"", ""Fire extinguisher"", ""Stove"", ""Lion body soap"", ""Lion conditioner"", ""Essentials"", ""Paid parking off premises"", ""Freezer"", ""Coffee"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Kitchen"", ""Mini fridge"", ""Toaster"", ""Hair dryer"", ""Wifi"", ""Wine glasses"", ""Host greets you"", ""Free washer \u2013 In building"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Hot water kettle"", ""Air conditioning"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Refrigerator"", ""Cooking basics"", ""Dining table"", ""TV"", ""Long term stays allowed""]",3,Katsushika Ku,35.73987,139.85176,4.94,4.89,4.97,4.76,4.97,4.97,4.95,423,t,100%,99%,t,6,129,f,462.2632423675584,1.0,12446.337615884304,20097.19084349277,780000,485.0530123740464
1306664,3rd floor penthouse @ heart of TKO,https://www.airbnb.com/rooms/1306664,"$31,772.00",Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,"[""Extra pillows and blankets"", ""Coffee maker"", ""Safe"", ""Keypad"", ""Hangers"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Outdoor furniture"", ""Hot water"", ""Shampoo"", ""Washer"", ""Iron"", ""Sound system with aux"", ""Fire extinguisher"", ""Bidet"", ""Dryer"", ""Induction stove"", ""Private patio or balcony"", ""Essentials"", ""Marks and Web conditioner"", ""Freezer"", ""Coffee"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Wine glasses"", ""Bathtub"", ""Books and reading material"", ""First aid kit"", ""Marks and Web body soap"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Hot water kettle"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Cooking basics"", ""Dining table"", ""TV""]",3,Shinjuku Ku,35.70263,139.74147,4.89,4.68,4.89,4.88,4.89,4.85,4.87,225,f,88%,95%,t,6,61,f,262.01407517012,4.0,4013.493918547013,7478.761757793753,2230000,90.23932650764056
1526132,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) B,https://www.airbnb.com/rooms/1526132,"$12,001.00",Private room,Private room in rental unit,2,1.0,2.0,1 shared bath,"[""Extra pillows and blankets"", ""Hangers"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Elevator"", ""Smoking allowed"", ""Hot water"", ""Shampoo"", ""City skyline view"", ""Fire extinguisher"", ""Bidet"", ""Body soap"", ""Essentials"", ""Laundromat nearby"", ""Freezer"", ""Paid parking off premises"", ""Coffee"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Hair dryer"", ""Central air conditioning"", ""Wifi"", ""Gas stove"", ""Lock on bedroom door"", ""27 inch TV"", ""Host greets you"", ""Books and reading material"", ""Shared patio or balcony"", ""First aid kit"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Hot water kettle"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Refrigerator"", ""Cooking basics"", ""Dining table"", ""Central heating"", ""Long term stays allowed""]",2,Shinjuku Ku,35.69857,139.704,4.85,4.76,4.77,4.82,4.93,4.94,4.83,220,t,100%,92%,t,13,85,f,421.0608027998501,2.0,7320.870313192121,5440.87642147278,919000,233.8637748475322
1544970,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) A,https://www.airbnb.com/rooms/1544970,"$11,169.00",Private room,Private room in rental unit,2,1.0,2.0,1 shared bath,"[""Extra pillows and blankets"", ""Hangers"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Elevator"", ""Smoking allowed"", ""Hot water"", ""Shampoo"", ""City skyline view"", ""Fire extinguisher"", ""Bidet"", ""Body soap"", ""Essentials"", ""Laundromat nearby"", ""Freezer"", ""Paid parking off premises"", ""Coffee"", ""Dedicated workspace"", ""Dishes and silverware"", ""Paid parking lot on premises"", ""Kitchen"", ""Fast wifi \u2013 189 Mbps"", ""Hair dryer"", ""Central air conditioning"", ""Gas stove"", ""Lock on bedroom door"", ""27 inch TV"", ""Host greets you"", ""Books and reading material"", ""Shared patio or balcony"", ""First aid kit"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Hot water kettle"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Refrigerator"", ""Cooking basics"", ""Dining table"", ""Central heating"", ""Long term stays allowed""]",2,Shinjuku Ku,35.69848,139.70432,4.87,4.81,4.8,4.86,4.93,4.96,4.87,191,t,100%,92%,t,13,134,f,383.6213748501943,2.0,7283.172852008207,5430.700721149009,919000,251.2685530398077
2080626,"303｜ 6 min to Shinagawa, 20 min to Shibuya｜NO AC",https://www.airbnb.com/rooms/2080626,"$9,916.00",Private room,Private room in home,2,1.0,1.0,2 shared baths,"[""Courtyard view"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Rice maker"", ""Hangers"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Hot water"", ""Clothing storage"", ""Shampoo"", ""Washer"", ""Iron"", ""Fire extinguisher"", ""Stove"", ""Bidet"", ""Body soap"", ""Essentials"", ""Paid parking off premises"", ""Conditioner"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Kitchen"", ""Self check-in"", ""Backyard"", ""Toaster"", ""Hair dryer"", ""Cleaning available during stay"", ""Wifi"", ""Wine glasses"", ""Patio or balcony"", ""Lock on bedroom door"", ""Bathtub"", ""Books and reading material"", ""Window guards"", ""First aid kit"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Oven"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Lockbox"", ""Dining table"", ""TV"", ""Long term stays allowed""]",2,Ota Ku,35.58862,139.72755,4.82,4.68,4.7,4.84,4.9,4.92,4.77,73,f,100%,68%,t,6,143,f,78.00286120160305,1.0,13414.62299951144,10065.01432809096,2560000,171.54179501313578
2129325,"5 mins to JRShinagwa, AuthenticTraditionalTea Room",https://www.airbnb.com/rooms/2129325,"$11,095.00",Private room,Private room in home,4,1.0,4.0,2 shared baths,"[""Courtyard view"", ""Extra pillows and blankets"", ""Hangers"", ""Hot water"", ""Shampoo"", ""Washer"", ""Iron"", ""Fire extinguisher"", ""Stove"", ""Essentials"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Patio or balcony"", ""Bathtub"", ""Window guards"", ""First aid kit"", ""Heating"", ""Smoke alarm"", ""Oven"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Lockbox"", ""TV"", ""Long term stays allowed""]",2,Ota Ku,35.59062619880348,139.72270641956314,4.89,4.81,4.78,4.89,4.89,5.0,4.75,36,f,100%,68%,t,6,313,f,649.5833264367642,0.0,13341.20453147531,9655.157385249331,797000,146.3367999972663
